brand,model,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,engine_size,car_age,age_range,milage_range
Nissan,Other,96541.0,Gasoline,Automatic,Blue,Black,None reported,Unknown,13998.0,1.8,9,7–9,75K–100K
Mercedes-Benz,Other,17500.0,Gasoline,A/T,Gray,Black,None reported,Yes,59995.0,382.0,4,4–6,0–25K
BMW,Other,69000.0,Gasoline,8-Speed A/T,Gray,Black,None reported,Yes,25700.0,445.0,10,10–12,50K–75K
Audi,Other,81880.0,E85 Flex Fuel,8-Speed Automatic,Other,Black,None reported,Yes,21375.0,2.0,8,7–9,75K–100K
Mercedes-Benz,Other,28800.0,Gasoline,9-Speed A/T,Silver,Black,None reported,Yes,48000.0,362.0,7,7–9,25K–50K
Dodge,Other,300183.0,Gasoline,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0,345.0,19,13+,
BMW,Other,35035.0,Hybrid,Automatic,Black,Black,None reported,Unknown,24998.0,120.0,5,4–6,25K–50K
Kia,Other,171000.0,Gasoline,A/T,Black,Black,None reported,Yes,5999.0,276.0,14,13+,150K+
Lexus,Other,118700.0,Gasoline,8-Speed A/T,Black,Beige,None reported,Yes,46900.0,383.0,9,7–9,100K–150K
Jeep,Other,119000.0,Gasoline,A/T,Other,Black,None reported,Yes,15900.0,180.0,8,7–9,100K–150K
BMW,Other,44261.0,Gasoline,Automatic,Gray,Black,None reported,Unknown,33598.0,3.0,7,7–9,25K–50K
Audi,Other,125575.0,Gasoline,8-Speed A/T,Silver,Black,None reported,Yes,8999.0,211.0,13,13+,100K–150K
Hyundai,Other,16200.0,Gasoline,A/T,Other,Beige,None reported,Yes,8200.0,173.0,18,13+,0–25K
BMW,Other,70000.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000.0,240.0,11,10–12,50K–75K
Bentley,Other,20200.0,E85 Flex Fuel,6-Speed A/T,Black,Black,None reported,Yes,79950.0,552.0,14,13+,0–25K
Honda,Other,2978.0,Gasoline,Automatic,Other,Gray,None reported,Unknown,45498.0,3.5,2,0–3,0–25K
Dodge,Other,189719.0,Diesel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000.0,3.0,18,13+,150K+
BMW,Other,9949.0,Gasoline,Automatic,Blue,Black,None reported,Unknown,75798.0,4.4,6,4–6,0–25K
Lucid,Other,3552.0,Gasoline,1-Speed A/T,Other,Beige,None reported,Yes,119999.0,536.0,3,0–3,0–25K
Audi,Other,54000.0,Gasoline,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880.0,310.0,13,13+,50K–75K
Chevrolet,Other,51351.0,Gasoline,Automatic,Black,Other,None reported,Yes,43147.0,5.3,4,4–6,50K–75K
MINI,Other,24280.0,Gasoline,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000.0,228.0,8,7–9,0–25K
Toyota,Other,89148.0,Gasoline,A/T,Black,Black,None reported,Yes,17500.0,268.0,9,7–9,75K–100K
Porsche,Other,73043.0,Gasoline,8-Speed A/T,White,Black,None reported,Yes,30990.0,300.0,8,7–9,50K–75K
Mercedes-Benz,Other,60000.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500.0,503.0,8,7–9,50K–75K
Honda,Other,73549.0,Gasoline,Automatic CVT,Other,Black,At least 1 accident or damage reported,Unknown,20848.0,2.4,9,7–9,50K–75K
Hummer,Other,110900.0,Gasoline,A/T,Gray,Black,None reported,Yes,19500.0,325.0,20,13+,100K–150K
Porsche,911 Carrera S,39000.0,Gasoline,7-Speed A/T,Blue,Black,None reported,Yes,73000.0,400.0,12,10–12,25K–50K
Mercedes-Benz,Other,120000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800.0,208.0,9,7–9,100K–150K
Chrysler,Other,134602.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500.0,250.0,16,13+,100K–150K
Nissan,Other,1094.0,Gasoline,Automatic CVT,Other,Other,None reported,Unknown,30999.0,1.5,2,0–3,0–25K
Audi,Other,83500.0,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500.0,200.0,15,13+,75K–100K
Ford,Mustang GT Premium,37060.0,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,28500.0,420.0,11,10–12,25K–50K
Acura,Other,97700.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995.0,300.0,15,13+,75K–100K
Volvo,Other,40000.0,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000.0,400.0,7,7–9,25K–50K
Audi,Other,8940.0,Gasoline,7-Speed Automatic with Auto-Shift,Other,Black,None reported,Unknown,144900.0,5.2,7,7–9,0–25K
Mercedes-Benz,Other,186000.0,Gasoline,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000.0,302.0,11,10–12,150K+
Toyota,Other,13180.0,Gasoline,CVT-F,Other,Black,None reported,Unknown,23998.0,2.0,4,4–6,0–25K
Lexus,Other,104000.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,21000.0,306.0,11,10–12,100K–150K
BMW,Other,8500.0,Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900.0,382.0,2,0–3,0–25K
BMW,Other,19069.0,Gasoline,Automatic,Other,Other,None reported,Unknown,69998.0,3.0,6,4–6,0–25K
Cadillac,Other,6090.0,Gasoline,A/T,White,Beige,None reported,Yes,46900.0,237.0,2,0–3,0–25K
Lucid,Other,4900.0,Gasoline,1-Speed A/T,Other,Black,None reported,Yes,99000.0,536.0,3,0–3,0–25K
Audi,Other,47523.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000.0,248.0,6,4–6,25K–50K
Chrysler,Other,43000.0,Gasoline,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995.0,425.0,19,13+,25K–50K
Bentley,Other,14684.0,Gasoline,8-Speed A/T,White,Other,None reported,Yes,130000.0,582.0,8,7–9,0–25K
BMW,M4 Base,57800.0,Gasoline,Transmission w/Dual Shift Mode,Black,Other,None reported,Yes,55999.0,425.0,6,4–6,50K–75K
Toyota,Other,952.0,Gasoline,6-Speed M/T,Silver,Gray,None reported,Yes,49950.0,300.0,2,0–3,0–25K
Audi,Other,21240.0,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950.0,444.0,6,4–6,0–25K
Porsche,Other,59338.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499.0,335.0,6,4–6,50K–75K
Lamborghini,Other,255.0,Gasoline,Automatic,Other,Other,None reported,Unknown,359991.0,5.2,2,0–3,0–25K
Maserati,Other,23230.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,44999.0,424.0,6,4–6,0–25K
Jaguar,Other,48000.0,Gasoline,A/T,Other,Black,At least 1 accident or damage reported,Yes,30000.0,340.0,8,7–9,25K–50K
Lexus,Other,41059.0,Gasoline,5-Speed A/T,White,Beige,None reported,Yes,11100.0,225.0,20,13+,25K–50K
Land,Other,21240.0,Gasoline,Automatic,White,Black,None reported,Unknown,37998.0,2.0,5,4–6,0–25K
Porsche,Other,11500.0,Gasoline,7-Speed A/T,Silver,Black,None reported,Yes,72000.0,340.0,10,10–12,0–25K
Genesis,Other,9950.0,Gasoline,8-Speed A/T,Silver,Other,None reported,Yes,53950.0,365.0,4,4–6,0–25K
Volkswagen,Other,633.0,Gasoline,6-Speed M/T,White,Black,None reported,Yes,47999.0,315.0,2,0–3,0–25K
Hyundai,Other,66000.0,Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0,199.0,10,10–12,50K–75K
Audi,Other,59715.0,Gasoline,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000.0,560.0,11,10–12,50K–75K
BMW,Other,85252.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,18500.0,326.0,13,13+,75K–100K
Mercedes-Benz,Other,17900.0,Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000.0,362.0,5,4–6,0–25K
BMW,Other,25500.0,Gasoline,7-Speed A/T,White,Black,None reported,Yes,55000.0,560.0,9,7–9,25K–50K
Subaru,Other,210703.0,Gasoline,M/T,Other,Beige,Unknown,Unknown,2300.0,165.0,21,,150K+
Hyundai,Other,3800.0,Gasoline,6-Speed M/T,White,Black,None reported,Yes,34000.0,276.0,2,0–3,0–25K
Kia,Other,36602.0,Hybrid,6-Speed Automatic with Auto-Shift,Other,Other,None reported,Yes,31995.0,1.6,3,0–3,25K–50K
Rivian,R1S Adventure Package,2800.0,Gasoline,1-Speed A/T,White,Other,None reported,Yes,92000.0,835.0,2,0–3,0–25K
Aston,Other,2165.0,Gasoline,8-Speed Automatic,Black,Black,None reported,Yes,279950.0,5.2,4,4–6,0–25K
Mercedes-Benz,Other,33000.0,Gasoline,9-Speed A/T,Other,Black,At least 1 accident or damage reported,Yes,29900.0,241.0,7,7–9,25K–50K
BMW,Other,76009.0,Gasoline,8-Speed A/T,White,Beige,None reported,Yes,24950.0,300.0,9,7–9,75K–100K
Jeep,Other,31349.0,Gasoline,8-Speed Automatic,Other,Black,None reported,Unknown,39366.0,5.7,5,4–6,25K–50K
Lexus,Other,48000.0,Gasoline,Transmission w/Dual Shift Mode,Other,Other,None reported,Yes,32900.0,306.0,10,10–12,25K–50K
BMW,Other,91420.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,8900.0,215.0,20,13+,75K–100K
Toyota,Other,124756.0,Gasoline,M/T,Other,Beige,At least 1 accident or damage reported,Yes,4995.0,130.0,22,,100K–150K
Cadillac,Other,2415.0,Gasoline,10-Speed Automatic,Other,Gray,None reported,Unknown,104900.0,6.2,2,0–3,0–25K
GMC,Other,116226.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,7900.0,288.0,13,13+,100K–150K
Lexus,Other,37869.0,Gasoline,10-Speed Automatic,Other,Other,None reported,Unknown,75950.0,5.0,5,4–6,25K–50K
BMW,Other,41500.0,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000.0,369.0,6,4–6,25K–50K
Lexus,Other,87001.0,Hybrid,CVT Transmission,Other,Beige,None reported,Yes,17995.0,200.0,12,10–12,75K–100K
Cadillac,Other,4451.0,Gasoline,Automatic,Other,Other,At least 1 accident or damage reported,Yes,55655.0,3.0,3,0–3,0–25K
BMW,Other,27158.0,Gasoline,Automatic,Other,Other,None reported,Unknown,39998.0,2.0,5,4–6,25K–50K
Chevrolet,Other,139804.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0,195.0,11,10–12,100K–150K
Jeep,Other,27300.0,Gasoline,A/T,Other,Black,None reported,Yes,47500.0,285.0,3,0–3,25K–50K
BMW,Other,36812.0,Gasoline,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000.0,240.0,11,10–12,25K–50K
Land,Other,144000.0,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000.0,340.0,9,7–9,100K–150K
Cadillac,Other,44500.0,Gasoline,9-Speed A/T,Blue,Other,None reported,Yes,28900.0,237.0,6,4–6,25K–50K
BMW,Other,10917.0,Gasoline,Automatic,Black,Black,None reported,Unknown,73998.0,4.4,4,4–6,0–25K
Bentley,Other,8332.0,Gasoline,4-Speed A/T,White,Beige,None reported,Yes,47350.0,400.0,20,13+,0–25K
Lincoln,Other,51247.0,Gasoline,Automatic,Other,Other,None reported,Unknown,47698.0,3.0,5,4–6,50K–75K
Mercedes-Benz,Other,69000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500.0,550.0,9,7–9,50K–75K
RAM,Other,147834.0,Gasoline,6-Speed Automatic,Other,Black,None reported,Yes,32662.0,3.6,4,4–6,100K–150K
Ford,Other,105000.0,E85 Flex Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,6600.0,300.0,12,10–12,100K–150K
Audi,Other,92203.0,Gasoline,Transmission w/Dual Shift Mode,Other,Beige,None reported,Yes,9995.0,211.0,14,13+,75K–100K
Nissan,Other,15600.0,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500.0,485.0,15,13+,0–25K
Land,Other,104700.0,Gasoline,Automatic,Other,Other,At least 1 accident or damage reported,Unknown,30775.0,6.0,7,7–9,100K–150K
Toyota,Other,72348.0,Gasoline,A/T,Other,Gray,At least 1 accident or damage reported,Yes,9995.0,132.0,15,13+,50K–75K
Rivian,R1S Adventure Package,2500.0,Gasoline,A/T,Other,Other,None reported,Yes,94000.0,835.0,2,0–3,0–25K
Mercedes-Benz,Other,13177.0,Gasoline,Automatic,White,Other,None reported,Unknown,44798.0,2.0,3,0–3,0–25K
Porsche,Other,96000.0,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Other,At least 1 accident or damage reported,Yes,23000.0,416.0,9,7–9,75K–100K
Chevrolet,Other,93009.0,E85 Flex Fuel,4-Speed Automatic,Other,Other,None reported,Yes,22495.0,5.3,14,13+,75K–100K
INFINITI,Other,52750.0,Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998.0,360.0,9,7–9,50K–75K
Audi,Other,25361.0,Hybrid,Automatic,Other,Black,None reported,Unknown,49998.0,3.0,5,4–6,25K–50K
Audi,Other,98527.0,Gasoline,8-Speed A/T,Black,Black,Unknown,Unknown,9995.0,280.0,10,10–12,75K–100K
Lucid,Other,1300.0,Gasoline,A/T,Black,Gray,Unknown,Unknown,86900.0,620.0,2,0–3,0–25K
Chrysler,Other,87305.0,Gasoline,9-Speed A/T,Silver,Black,None reported,Yes,9000.0,,8,7–9,75K–100K
Audi,Other,72922.0,Gasoline,6-Speed A/T,White,Black,Unknown,Unknown,25999.0,265.0,13,13+,50K–75K
BMW,Other,41000.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,30000.0,445.0,10,10–12,25K–50K
Subaru,Other,42125.0,Gasoline,Automatic CVT,Other,Black,None reported,Yes,27899.0,2.5,4,4–6,25K–50K
Mercedes-Benz,Other,62000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000.0,469.0,9,7–9,50K–75K
Land,Other,153843.0,Gasoline,6-Speed A/T,Other,Beige,At least 1 accident or damage reported,Yes,9950.0,300.0,19,13+,150K+
BMW,Other,35248.0,Gasoline,Automatic,Other,Black,None reported,Unknown,53998.0,3.0,6,4–6,25K–50K
Ford,Other,194454.0,Gasoline,6-Speed A/T,White,Black,None reported,Yes,9888.0,169.0,10,10–12,150K+
Lexus,Other,21000.0,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,89999.0,383.0,4,4–6,0–25K
Porsche,911 Carrera S,18494.0,Gasoline,7-Speed M/T,Black,Black,Unknown,Unknown,86900.0,400.0,12,10–12,0–25K
Dodge,Other,218000.0,Gasoline,4-Speed A/T,Other,Gray,None reported,Yes,12990.0,330.0,19,13+,150K+
Nissan,Other,67800.0,Gasoline,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500.0,400.0,4,4–6,50K–75K
Porsche,Other,79000.0,Gasoline,Transmission w/Dual Shift Mode,Other,Black,At least 1 accident or damage reported,Yes,42999.0,275.0,11,10–12,75K–100K
Mercedes-Benz,Other,24906.0,Hybrid,Automatic,Other,Black,None reported,Unknown,63998.0,3.0,3,0–3,0–25K
Chevrolet,Other,66840.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,12000.0,303.0,19,13+,50K–75K
BMW,M5 Base,86000.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Other,None reported,Yes,32000.0,560.0,12,10–12,75K–100K
Hyundai,Other,654.0,Gasoline,8-Speed Automatic with Auto-Shift,Other,Black,None reported,Yes,34599.0,2.0,2,0–3,0–25K
Chevrolet,Other,75000.0,Gasoline,A/T,Black,Black,None reported,Yes,12500.0,240.0,20,13+,50K–75K
Land,Other,84000.0,Gasoline,9-Speed A/T,Other,Black,At least 1 accident or damage reported,Yes,22800.0,240.0,10,10–12,75K–100K
Audi,Other,52500.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999.0,450.0,8,7–9,50K–75K
GMC,Other,120000.0,Gasoline,6-Speed A/T,Silver,Gray,None reported,Yes,7500.0,288.0,14,13+,100K–150K
Alfa,Other,18665.0,Gasoline,8-Speed Automatic,Other,Other,None reported,Yes,35645.0,2.0,5,4–6,0–25K
Ferrari,Other,19987.0,Gasoline,7-Speed A/T,Black,Brown,None reported,Yes,149900.0,651.0,9,7–9,0–25K
Kia,Other,36486.0,Gasoline,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,23950.0,420.0,8,7–9,25K–50K
Ford,Other,162100.0,E85 Flex Fuel,4-Speed A/T,Black,Gray,None reported,Yes,12500.0,255.0,12,10–12,150K+
Tesla,Other,13079.0,Gasoline,A/T,Black,Other,None reported,Yes,47000.0,455.0,3,0–3,0–25K
Toyota,Other,28377.0,Gasoline,5-Speed Automatic,Silver,Gray,None reported,Unknown,36999.0,4.0,3,0–3,25K–50K
Subaru,Other,32744.0,Gasoline,CVT Transmission,Black,Gray,None reported,Yes,24000.0,182.0,5,4–6,25K–50K
Porsche,Other,54000.0,Gasoline,A/T,White,Black,At least 1 accident or damage reported,Yes,26000.0,300.0,13,13+,50K–75K
Toyota,Other,202055.0,Gasoline,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,8500.0,236.0,17,13+,150K+
RAM,Other,65000.0,Diesel,6-Speed A/T,Black,Black,None reported,Yes,65000.0,370.0,6,4–6,50K–75K
Kia,Other,9686.0,Gasoline,6-Speed Automatic,Other,Black,None reported,Yes,30990.0,2.4,3,0–3,0–25K
Cadillac,Other,49620.0,Gasoline,A/T,White,Gray,None reported,Yes,10499.0,275.0,15,13+,25K–50K
Toyota,Land Cruiser Base,213000.0,Gasoline,4-Speed A/T,White,Beige,None reported,Yes,26500.0,212.0,28,,150K+
Nissan,Other,16010.0,Gasoline,A/T,White,Black,None reported,Yes,114000.0,565.0,5,4–6,0–25K
Lexus,Other,820.0,Gasoline,8-SPEED AT,Black,Black,None reported,Unknown,51998.0,2.4,2,0–3,0–25K
Audi,Other,68000.0,Gasoline,8-Speed A/T,Blue,Black,None reported,Yes,36499.0,248.0,4,4–6,50K–75K
Lexus,Other,82000.0,Gasoline,A/T,White,Beige,None reported,Yes,25000.0,230.0,26,,75K–100K
GMC,Other,27352.0,Gasoline,9-Speed Automatic,Other,Other,None reported,Unknown,27785.0,1.5,3,0–3,25K–50K
Ford,Other,129000.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,7000.0,171.0,13,13+,100K–150K
Lexus,Other,106731.0,Gasoline,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,30000.0,360.0,11,10–12,100K–150K
Ford,Other,34672.0,Gasoline,10-Speed A/T,White,Other,None reported,Yes,45500.0,400.0,6,4–6,25K–50K
Chevrolet,Other,55900.0,Gasoline,Transmission w/Dual Shift Mode,Other,Beige,None reported,Yes,8950.0,252.0,15,13+,50K–75K
Audi,Other,3158.0,Gasoline,1-Speed Automatic,Other,Other,None reported,Unknown,128900.0,4.0,2,0–3,0–25K
Audi,Other,82000.0,Gasoline,8-Speed A/T,White,Brown,None reported,Yes,17000.0,220.0,10,10–12,75K–100K
Genesis,Other,4785.0,Gasoline,Automatic,Other,Other,None reported,Yes,42850.0,2.0,2,0–3,0–25K
Chevrolet,Other,20497.0,Gasoline,9-Speed Automatic,Other,Black,None reported,Unknown,22999.0,1.3,4,4–6,0–25K
Scion,Other,177600.0,Gasoline,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,7100.0,180.0,12,10–12,150K+
Lincoln,Other,78568.0,Hybrid,A/T,Blue,Beige,None reported,Yes,15500.0,188.0,11,10–12,75K–100K
Ford,Other,95000.0,E85 Flex Fuel,A/T,White,Gray,None reported,Yes,43000.0,275.0,7,7–9,75K–100K
Porsche,Other,4529.0,Gasoline,7-Speed Automatic with Auto-Shift,Black,Black,None reported,Yes,417500.0,3.8,7,7–9,0–25K
Ford,Other,25240.0,Gasoline,10-Speed Automatic,Gray,Other,At least 1 accident or damage reported,Unknown,39951.0,2.3,4,4–6,25K–50K
Volvo,Other,88300.0,Gasoline,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500.0,235.0,14,13+,75K–100K
Chevrolet,Other,98000.0,E85 Flex Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,27499.0,320.0,12,10–12,75K–100K
Audi,Other,20675.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,76000.0,400.0,7,7–9,0–25K
Lincoln,Other,95000.0,Gasoline,A/T,Black,Black,None reported,Yes,10900.0,300.0,17,13+,75K–100K
Hyundai,Other,107000.0,Gasoline,4-Speed A/T,Blue,Other,At least 1 accident or damage reported,Yes,6250.0,138.0,15,13+,100K–150K
Audi,Other,60000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,24700.0,354.0,9,7–9,50K–75K
Mitsubishi,Other,33000.0,Gasoline,5-Speed M/T,Black,Black,None reported,Yes,34999.0,291.0,13,13+,25K–50K
Tesla,Other,500.0,Gasoline,1-Speed A/T,Black,Other,None reported,Yes,60000.0,455.0,2,0–3,0–25K
Mercedes-Benz,Other,108500.0,Gasoline,7-Speed A/T,White,Beige,None reported,Yes,63500.0,523.0,9,7–9,100K–150K
Nissan,Other,37800.0,Gasoline,Transmission w/Dual Shift Mode,Other,Other,None reported,Yes,149500.0,565.0,8,7–9,25K–50K
Mercedes-Benz,Other,74422.0,Gasoline,Automatic,Other,Gray,None reported,Unknown,44798.0,4.7,7,7–9,50K–75K
Chevrolet,Other,55621.0,Gasoline,9-Speed Automatic,Other,Other,None reported,Unknown,34562.0,3.6,6,4–6,50K–75K
Mazda,Other,46707.0,Gasoline,6-Speed Automatic,Other,Black,At least 1 accident or damage reported,Yes,32541.0,2.5,4,4–6,25K–50K
Ford,Other,26500.0,Gasoline,A/T,White,Beige,None reported,Yes,65900.0,440.0,3,0–3,25K–50K
Nissan,Other,10001.0,Gasoline,9-Speed Automatic,Black,Black,None reported,Yes,47214.0,5.6,5,4–6,0–25K
Lexus,Other,19050.0,Gasoline,8-Speed A/T,Black,Beige,None reported,Yes,76900.0,383.0,6,4–6,0–25K
Chevrolet,Other,52000.0,Gasoline,A/T,White,Black,None reported,Yes,35800.0,310.0,5,4–6,50K–75K
Mercedes-Benz,Other,65000.0,Diesel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,54999.0,188.0,11,10–12,50K–75K
BMW,Other,140000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,6730.0,225.0,21,,100K–150K
Ford,Other,75600.0,Gasoline,A/T,Blue,Black,At least 1 accident or damage reported,Yes,14950.0,181.0,7,7–9,75K–100K
Lincoln,Other,117292.0,Gasoline,A/T,Other,Beige,None reported,Yes,12000.0,240.0,10,10–12,100K–150K
Ford,Other,1897.0,Gasoline,Manual,White,Black,None reported,Unknown,429998.0,5.4,20,13+,0–25K
Genesis,Other,26000.0,Gasoline,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,33600.0,420.0,8,7–9,25K–50K
Lexus,Other,2071.0,Gasoline,Automatic,Other,Other,None reported,Unknown,99950.0,5.0,3,0–3,0–25K
Ford,Other,15629.0,Gasoline,6-Speed Manual,Black,Black,None reported,Unknown,61900.0,5.8,11,10–12,0–25K
Saturn,Other,15020.0,Gasoline,A/T,Silver,Other,None reported,Yes,18500.0,173.0,17,13+,0–25K
Audi,Other,11322.0,Gasoline,8-Speed Automatic,Other,Other,None reported,Unknown,119900.0,4.0,3,0–3,0–25K
Toyota,Other,50361.0,Gasoline,Automatic,Silver,Black,None reported,Unknown,65998.0,5.7,9,7–9,50K–75K
Mercedes-Benz,Other,115000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,36000.0,429.0,12,10–12,100K–150K
Porsche,Other,28500.0,Gasoline,6-Speed M/T,Silver,Black,None reported,Yes,63500.0,355.0,20,13+,25K–50K
Mercedes-Benz,Other,51700.0,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,32000.0,375.0,7,7–9,50K–75K
